Region,sample_count,fish_presence_rate,minimumElevation,distanceOcean,ASPM,MCI,PercentageEPTTaxa,QMCI,TaxaRichness,distance,Latitude,Longitude
auckland,4298,32.0,23.0,3.11,0.22,76.61,13.03,3.74,21.1,0.04,-36.87,174.71
bay of plenty,2344,9.0,80.0,26.05,0.38,106.73,42.54,4.89,20.61,0.04,-38.02,176.42
canterbury,12528,1.0,199.0,62.88,0.44,98.45,41.79,5.27,18.5,0.07,-43.69,171.74
gisborne,471,2.0,115.0,30.39,0.44,104.5,38.58,5.44,21.75,0.04,-38.08,178.02
hawke's bay,1102,2.0,150.0,45.3,0.42,100.83,41.27,4.8,20.47,0.05,-39.4,176.8
manawatū-whanganui,2988,4.0,167.0,124.1,0.44,106.89,45.49,5.25,21.85,0.06,-40.22,175.53
marlborough,1326,7.0,78.5,24.65,0.56,113.74,51.11,5.01,19.54,0.06,-41.51,173.73
nelson,649,14.0,50.0,4.34,0.38,105.45,44.95,5.24,21.84,0.01,-41.29,173.33
northland,2672,19.0,61.0,10.6,0.38,91.27,39.1,3.87,21.47,0.07,-35.46,173.9
otago,13692,2.0,369.0,110.82,0.46,104.51,47.12,5.07,12.43,0.09,-45.26,169.79
southland,3062,4.0,141.0,71.1,0.51,107.02,50.72,5.39,20.84,0.08,-45.94,168.15
taranaki,2491,7.0,170.0,21.5,0.45,109.14,46.0,5.01,21.21,0.04,-39.24,174.19
tasman,1919,13.0,51.0,7.6,0.44,116.39,53.54,5.01,21.0,0.06,-41.16,172.83
waikato,5950,13.0,48.0,84.6,0.52,118.04,50.35,5.46,26.19,0.08,-37.72,175.32
wellington,3020,15.0,66.5,10.0,0.47,105.56,44.98,5.16,22.74,0.03,-41.09,175.03
west coast,3995,11.0,70.0,15.07,0.53,118.26,50.96,5.69,24.6,0.09,-42.6,171.35
