Species,kNN_AUC,RF_AUC,XGB_AUC,Ens_AUC,Pos%
Longfin Eel,0.8157177161232181,0.8368449549469927,0.8205857785619476,0.8425381735991221,25.3
Shortfin Eel,0.8533870064998192,0.8858859403087619,0.8792450038770794,0.8921679847718338,16.6
Common Bully,0.819363326270966,0.8706298998427886,0.8482353082801487,0.8735307304084373,11.1
Koura,0.807223907845151,0.8574067971852768,0.8459762614904222,0.864170146107685,9.2
Upland Bully,0.8964764136187593,0.9245549284979676,0.9234178683359031,0.932155939641561,10.8
Inanga,0.831190841875612,0.9089500369276471,0.8984203494095993,0.9100707332600896,8.2
Redfin Bully,0.8537833724215058,0.9243875368889847,0.9118145722254665,0.9270293519912649,7.7
Banded Kokopu,0.8710911090507506,0.9291408340623784,0.91778843701901,0.9319501747310597,8.0
Koaro,0.8459083462818715,0.9103505075095899,0.9005092810510446,0.9116972117199877,6.1
Torrentfish,0.8295501268056287,0.9069328388202661,0.893675729163314,0.9112602408027749,4.0
